PARAM01,PARAM02,PARAM03,PARAM04,PARAM05,PARAM06,PARAM07,LABEL
'POSEDGE','-3V','PIN01','TEST01.SOF','4720','???','3899',1
'NEGEDGE','-2V','PIN01','TEST01.SOF',2182','???',2101',2
'POSEDGE','-2V','PIN04','TEST08.SOF',1376','/TESTPATH/PR01','3484',2
'NEGEDGE','-9V','PIN02','TEST08.SOF',1534','???',1723',2
'NEGEDGE','-3V','PIN01','TEST01.SOF','8624','/TESTPATH/PR01','5740',2
'POSEDGE','-5V','PIN01','TEST15.SOF','3881','/TESTPATH/PR02','6342',1
'POSEDGE','-2V','PIN03','TEST20.SOF','9741','/TESTPATH/PR01',1169',2
'POSEDGE','-2V','PIN01','TEST01.SOF','8418','/TESTPATH/PR14',1755',2
'POSEDGE','-3V','PIN04','TEST20.SOF','7832','/TESTPATH/PR01','3919',1
'NEGEDGE','-2V','PIN03','TEST08.SOF','3696','???','6136',1
'NEGEDGE','-5V','PIN02','TEST01.SOF','3068','/TESTPATH/PR14','4146',1
'POSEDGE','-2V','PIN01','TEST20.SOF','3566','???',2994',2
'NEGEDGE','-2V','PIN02','TEST15.SOF',1607','/TESTPATH/PR02','3687',1
'NEGEDGE','-5V','PIN03','TEST08.SOF','5724','/TESTPATH/PR14',1444',1
'NEGEDGE','-3V','PIN02','TEST01.SOF',2508','/TESTPATH/PR01','5742',1
'POSEDGE','-5V','PIN01','TEST15.SOF','5683','/TESTPATH/PR02','4494',1
'NEGEDGE','-2V','PIN01','TEST15.SOF','3543','/TESTPATH/PR14','5151',2
'NEGEDGE','-2V','PIN01','TEST08.SOF','7947','???','5684',1
'NEGEDGE','-9V','PIN02','TEST20.SOF',1161','/TESTPATH/PR14','5203',1
'POSEDGE','-2V','PIN01','TEST15.SOF','3964','???','8321',2
'NEGEDGE','-3V','PIN01','TEST20.SOF','6722','/TESTPATH/PR02','5679',2
'NEGEDGE','-2V','PIN04','TEST15.SOF','4833','/TESTPATH/PR14','9357',1
'NEGEDGE','-2V','PIN01','TEST20.SOF','8766','???',2774',2
'NEGEDGE','-3V','PIN04','TEST01.SOF','6745','???','6533',2
'NEGEDGE','-2V','PIN04','TEST08.SOF','7584','/TESTPATH/PR01','9134',2
'POSEDGE','-5V','PIN02','TEST01.SOF','7663','/TESTPATH/PR01','7150',1
'NEGEDGE','-5V','PIN04','TEST15.SOF','3683','???','3510',1
'NEGEDGE','-5V','PIN02','TEST01.SOF','3444','/TESTPATH/PR01','3761',2
'NEGEDGE','-9V','PIN02','TEST08.SOF','3357','???','9211',1
'NEGEDGE','-2V','PIN01','TEST08.SOF','9711','/TESTPATH/PR14','5276',2
'NEGEDGE','-5V','PIN03','TEST01.SOF',1773','/TESTPATH/PR14','3760',1
'POSEDGE','-5V','PIN01','TEST08.SOF','5361','???','4797',2
'NEGEDGE','-2V','PIN04','TEST08.SOF','4098','/TESTPATH/PR01',1884',2
'NEGEDGE','-2V','PIN04','TEST15.SOF',2655','/TESTPATH/PR14','6282',1
'POSEDGE','-3V','PIN04','TEST01.SOF','9870','???','7815',2
'POSEDGE','-5V','PIN04','TEST08.SOF',2377','???',2908',1
'NEGEDGE','-9V','PIN03','TEST01.SOF','9127','/TESTPATH/PR01','8522',1
'NEGEDGE','-3V','PIN03','TEST15.SOF','6073','???','9364',2
'POSEDGE','-5V','PIN04','TEST01.SOF','9060','/TESTPATH/PR14','7728',2
'POSEDGE','-2V','PIN03','TEST01.SOF','9687','/TESTPATH/PR02','6154',2
'NEGEDGE','-2V','PIN02','TEST08.SOF','9746','/TESTPATH/PR14','7801',2
'POSEDGE','-3V','PIN04','TEST08.SOF','9437','/TESTPATH/PR02','4069',2
'NEGEDGE','-3V','PIN03','TEST08.SOF','9354','/TESTPATH/PR01','6276',1
'NEGEDGE','-5V','PIN01','TEST20.SOF','5453','/TESTPATH/PR14','4375',1
'NEGEDGE','-2V','PIN03','TEST20.SOF',2560','/TESTPATH/PR02','6766',2
'POSEDGE','-3V','PIN02','TEST15.SOF','9619','/TESTPATH/PR02','4080',2
'POSEDGE','-5V','PIN03','TEST15.SOF','8393','/TESTPATH/PR01','8528',1
'POSEDGE','-5V','PIN02','TEST15.SOF','8988','/TESTPATH/PR01','5419',1
'POSEDGE','-9V','PIN02','TEST20.SOF','8100','???','7385',2
'POSEDGE','-3V','PIN02','TEST20.SOF','4665','/TESTPATH/PR01','3095',1
